date,I_est
2021-06-27,167027.0
2021-06-28,168887.0
2021-06-29,165775.0
2021-06-30,169300.0
2021-07-01,172704.0
2021-07-02,181314.0
2021-07-03,177711.0
2021-07-04,177053.0
2021-07-05,175490.0
2021-07-06,187288.0
2021-07-07,194937.0
2021-07-08,201626.0
2021-07-09,224091.0
2021-07-10,225088.0
2021-07-11,232194.0
2021-07-12,248090.0
2021-07-13,267064.0
2021-07-14,282905.0
2021-07-15,299911.0
2021-07-16,348346.0
2021-07-17,357131.0
2021-07-18,373244.0
2021-07-19,413292.0
2021-07-20,430649.0
2021-07-21,458364.0
2021-07-22,493907.0
2021-07-23,567714.0
2021-07-24,587067.0
2021-07-25,603953.0
2021-07-26,652830.0
2021-07-27,691476.0
2021-07-28,733926.0
2021-07-29,774350.0
2021-07-30,887475.0
2021-07-31,918140.0
2021-08-01,943170.0
2021-08-02,1001431.0
2021-08-03,1059585.0
2021-08-04,1114136.0
2021-08-05,1167313.0
2021-08-06,1298491.0
2021-08-07,1333023.0
2021-08-08,1340103.0
2021-08-09,1419957.0
2021-08-10,1473127.0
2021-08-11,1554051.0
2021-08-12,1625541.0
2021-08-13,1661097.0
2021-08-14,1690597.0
2021-08-15,1693082.0
2021-08-16,1778930.0
2021-08-17,1832081.0
2021-08-18,1896935.0
2021-08-19,1942707.0
2021-08-20,1929751.0
2021-08-21,1959413.0
2021-08-22,1969095.0
2021-08-23,2016869.0
2021-08-24,2053771.0
2021-08-25,2078431.0
2021-08-26,2118376.0
2021-08-27,2130009.0
2021-08-28,2135858.0
2021-08-29,2141189.0
2021-08-30,2175785.0
2021-08-31,2204636.0
2021-09-01,2227764.0
2021-09-02,2251568.0
2021-09-03,2247680.0
2021-09-04,2241461.0
2021-09-05,2260788.0
2021-09-06,2144659.0
2021-09-07,2199520.0
2021-09-08,2197990.0
2021-09-09,2180905.0
2021-09-10,2184250.0
2021-09-11,2194740.0
2021-09-12,2191130.0
2021-09-13,2170895.0
2021-09-14,2136423.0
2021-09-15,2119249.0
2021-09-16,2098722.0
2021-09-17,2074237.0
2021-09-18,2063180.0
2021-09-19,2044468.0
2021-09-20,2123812.0
2021-09-21,2035607.0
2021-09-22,1989614.0
2021-09-23,1951984.0
2021-09-24,1884863.0
2021-09-25,1856203.0
2021-09-26,1862240.0
2021-09-27,1808458.0
2021-09-28,1776058.0
2021-09-29,1724725.0
2021-09-30,1676219.0
2021-10-01,1620421.0
2021-10-02,1593904.0
2021-10-03,1594111.0
2021-10-04,1565294.0
2021-10-05,1538973.0
2021-10-06,1520091.0
2021-10-07,1492123.0
2021-10-08,1448115.0
2021-10-09,1426580.0
2021-10-10,1411942.0
2021-10-11,1350885.0
2021-10-12,1348681.0
2021-10-13,1335118.0
2021-10-14,1311155.0
2021-10-15,1265074.0
2021-10-16,1256668.0
2021-10-17,1243621.0
2021-10-18,1199688.0
2021-10-19,1186760.0
2021-10-20,1166244.0
2021-10-21,1142468.0
2021-10-22,1107806.0
2021-10-23,1101757.0
2021-10-24,1081709.0
2021-10-25,1098338.0
2021-10-26,1054999.0
2021-10-27,1049149.0
2021-10-28,1037523.0
2021-10-29,1023489.0
2021-10-30,1018438.0
2021-10-31,1019278.0
2021-11-01,1032487.0
2021-11-02,1019950.0
2021-11-03,1014432.0
2021-11-04,1018332.0
2021-11-05,1019523.0
2021-11-06,1022486.0
2021-11-07,1040507.0
2021-11-08,1038364.0
2021-11-09,1050696.0
2021-11-10,1043363.0
2021-11-11,1026481.0
2021-11-12,1075885.0
2021-11-13,1085739.0
2021-11-14,1085610.0
2021-11-15,1106827.0
2021-11-16,1124715.0
2021-11-17,1150406.0
2021-11-18,1177757.0
2021-11-19,1206938.0
2021-11-20,1216900.0
2021-11-21,1219437.0
2021-11-22,1253003.0
2021-11-23,1264727.0
2021-11-24,1281164.0
2021-11-25,1260545.0
2021-11-26,1171117.0
2021-11-27,1153391.0
2021-11-28,1164612.0
2021-11-29,1218705.0
2021-11-30,1248330.0
2021-12-01,1272925.0
2021-12-02,1302255.0
2021-12-03,1333982.0
2021-12-04,1354534.0
2021-12-05,1369567.0
2021-12-06,1403590.0
2021-12-07,1424336.0
2021-12-08,1462143.0
2021-12-09,1549020.0
2021-12-10,1651742.0
2021-12-11,1681017.0
2021-12-12,1689291.0
2021-12-13,1687394.0
2021-12-14,1683138.0
2021-12-15,1691752.0
2021-12-16,1696030.0
2021-12-17,1730540.0
2021-12-18,1744413.0
2021-12-19,1778770.0
2021-12-20,1845014.0
2021-12-21,1914820.0
2021-12-22,2013296.0
2021-12-23,2163751.0
2021-12-24,2254604.0
2021-12-25,2285177.0
2021-12-26,2415301.0
2021-12-27,2738119.0
2021-12-28,2997228.0
2021-12-29,3362633.0
2021-12-30,3818391.0
2021-12-31,4137926.0
2022-01-01,4248476.0
